,Registeration_year,Name,Manufacturer,distance_travelled,fuel_used,gear_change,final_prices,years_old
328,2017,Audi Q7 45 TDI Quattro Technology,Audi,70000,Diesel,Automatic,4850000,6
329,2021,Maruti Ertiga ZXI AT,Maruti,12300,Petrol,Automatic,1190000,2
330,2018,Maruti SX4 S Cross Zeta DDiS 200 SH,Maruti,62943,Diesel,Manual,849000,5
331,2016,Ford Ecosport 1.5 Ti VCT AT Titanium BE BSIV,Ford,37000,Petrol,Automatic,690000,7
332,2019,Hyundai Venue S Turbo,Hyundai,26000,Petrol,Manual,840000,4
333,2013,Ford Figo Petrol ZXI,Ford,64000,Petrol,Manual,265000,10
334,2014,Audi Q7 3.0 TDI quattro,Audi,25000,Diesel,Automatic,3300000,9
335,2015,,Maruti,25000,,,500000,8
336,2014,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,32570,Diesel,Automatic,1975000,9
337,2015,Skoda Rapid 1.5 TDI AT Elegance Plus,Skoda,52000,Diesel,Automatic,575000,8
338,2022,Maruti Vitara Brezza ZXI,Maruti,15000,Petrol,Manual,1125000,1
339,2021,Jeep Compass 2.0 Limited 4X4 Opt Diesel AT,Jeep,37000,Diesel,Automatic,2750000,2
340,2015,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,96727,Diesel,Manual,1099000,8
341,2020,Hyundai Aura S CNG,Hyundai,16000,CNG,Manual,755000,3
342,2015,Skoda Rapid 1.5 TDI Ambition,Skoda,92732,Diesel,Manual,650000,8
343,2015,,Maruti,25000,,,500000,8
344,2018,Maruti Eeco 5 Seater AC BSIV,Maruti,44000,Petrol,Manual,445000,5
345,2012,Volvo S60 D3,Volvo,65000,Diesel,Automatic,1250000,11
346,2017,Maruti Baleno 1.2 Zeta,Maruti,46279,Petrol,Manual,600000,6
347,2011,Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,67000,Petrol,Manual,270000,12
348,2018,Renault KWID RXT,Renault,20000,Petrol,Manual,370000,5
349,2012,Tata Indica Quadrajet LX,Tata,163070,Diesel,Manual,275000,11
350,2020,Skoda Superb Laurin & klement,Skoda,17776,Petrol,Automatic,3365000,3
351,2015,,Maruti,25000,,,500000,8
352,2019,Audi Q7 45 TDI Design Edition,Audi,70000,Diesel,Automatic,5700000,4
353,2017,Toyota Innova Crysta 2.8 AT Touring Sport BSIV,Toyota,55000,Diesel,Automatic,2375000,6
354,2021,Maruti Eeco 5 Seater STD 2020-2022,Maruti,25114,Petrol,Manual,485000,2
355,2015,Mercedes-Benz E-Class E250 CDI Avantgarde,Mercedes-Benz,43000,Diesel,Automatic,1950000,8
356,2011,Hyundai i10 Magna 1.2 iTech SE,Hyundai,21000,Petrol,Manual,225000,12
357,2020,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,80000,Diesel,Automatic,2475000,3
358,2017,Skoda Superb LK 2.0 TDI AT,Skoda,125320,Diesel,Automatic,1975000,6
359,2015,,Maruti,25000,,,500000,8
360,2016,Mercedes-Benz C-Class Progressive C 200,Mercedes-Benz,52000,Petrol,Automatic,1900000,7
361,2012,Hyundai Verna 1.6 SX VTVT (O),Hyundai,49000,Petrol,Manual,450000,11
362,2021,Maruti Ciaz Alpha AT,Maruti,31963,Petrol,Automatic,1099000,2
363,2016,Honda Jazz 1.2 V AT i VTEC,Honda,34000,Petrol,Automatic,640000,7
364,2017,Toyota Camry 2.5 Hybrid,Toyota,38000,Petrol,Automatic,1770000,6
365,2015,Mahindra Scorpio 1.99 S4 Plus,Mahindra,67000,Diesel,Manual,725000,8
366,2021,BMW 5 Series 520d Luxury Line,BMW,10500,Diesel,Automatic,6450000,2
367,2015,,Maruti,25000,,,500000,8
368,2016,Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,63100,Diesel,Manual,1725000,7
369,2016,Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,61000,Petrol,Automatic,2100000,7
370,2006,Maruti Alto LX,Maruti,90000,Petrol,Manual,115000,17
371,2013,Volkswagen Vento Diesel Comfortline,Volkswagen,120000,Diesel,Manual,350000,10
372,2019,BMW X1 sDrive 20d xLine,BMW,22000,Diesel,Automatic,3190000,4
373,2015,Honda City i VTEC V,Honda,34511,Petrol,Manual,570000,8
374,2013,Maruti Ertiga VDI,Maruti,85000,Diesel,Manual,450000,10
375,2015,,Maruti,25000,,,500000,8
376,2012,BMW 5 Series 520d Sedan,BMW,95000,Diesel,Automatic,1400000,11
377,2018,Mini Cooper Convertible S,Mini,9000,Petrol,Automatic,3750000,5
378,2019,Ford Endeavour 3.2 Titanium AT 4X4,Ford,34000,Diesel,Automatic,3175000,4
379,2019,Maruti Swift LXI,Maruti,10000,Petrol,Manual,480000,4
380,2017,Honda BR-V i-DTEC VX MT,Honda,95197,Diesel,Manual,799000,6
381,2014,Hyundai Xcent 1.2 Kappa SX Option,Hyundai,45000,Petrol,Manual,415000,9
382,2022,BMW X1 sDrive20d xLine,BMW,16500,Diesel,Automatic,4500000,1
383,2015,,Maruti,25000,,,500000,8
384,2014,Mahindra Ssangyong Rexton RX7,Mahindra,100000,Diesel,Automatic,625000,9
385,2015,BMW 5 Series 520d Luxury Line,BMW,70000,Diesel,Automatic,2550000,8
386,2017,Isuzu MU-X 4X2,Isuzu,96095,Diesel,Automatic,1895000,6
387,2015,Toyota Land Cruiser VX Premium,Toyota,90000,Diesel,Automatic,9100000,8
388,2012,Mahindra XUV500 W8 FWD,Mahindra,80000,Diesel,Manual,550000,11
389,2019,Hyundai Creta 1.6 SX Option Diesel,Hyundai,40000,Diesel,Manual,1400000,4
390,2019,Maruti Swift Dzire LDI,Maruti,60000,Diesel,Manual,590000,4
391,2015,,Maruti,25000,,,500000,8
392,2015,Mercedes-Benz CLA 200 CDI Sport,Mercedes-Benz,55000,Diesel,Automatic,1999000,8
393,2017,Jeep Compass 2.0 Limited 4X4,Jeep,77462,Diesel,Manual,1135000,6
394,2019,Renault KWID RXT Optional,Renault,27634,Petrol,Manual,325000,4
395,2017,Mercedes-Benz GLC 220d 4MATIC Sport,Mercedes-Benz,69755,Diesel,Automatic,4500000,6
396,2021,Hyundai Creta SX Opt Turbo,Hyundai,9500,Petrol,Automatic,1775000,2
397,2015,Mahindra XUV500 W4,Mahindra,21926,Diesel,Manual,500000,8
398,2015,Hyundai i20 Active 1.2 SX,Hyundai,45980,Petrol,Manual,595000,8
399,2015,,Maruti,25000,,,500000,8
400,2014,Hyundai Xcent 1.2 Kappa S,Hyundai,30785,Petrol,Manual,335000,9
401,2018,Toyota Fortuner 2.8 2WD AT,Toyota,42000,Diesel,Automatic,3300000,5
402,2008,Honda Civic 1.8 V AT,Honda,37000,Petrol,Automatic,265000,15
403,2017,Mahindra TUV 300 T8 AMT,Mahindra,69000,Diesel,Automatic,625000,6
404,2015,Mahindra XUV500 AT W8 1.99 mHawk,Mahindra,87000,Diesel,Automatic,725000,8
405,2016,Mercedes-Benz GLE 250d,Mercedes-Benz,79000,Diesel,Automatic,3750000,7
406,2018,Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,39094,Diesel,Automatic,1900000,5
407,2015,,Maruti,25000,,,500000,8
408,2016,Mahindra NuvoSport N8,Mahindra,29354,Diesel,Manual,600000,7
409,2015,Audi A4 2.0 TDI Multitronic,Audi,57352,Diesel,Automatic,1425000,8
410,2019,Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,43000,Diesel,Automatic,4775000,4
411,2020,MG ZS EV Exclusive,MG,21885,Electric,Automatic,2000000,3
412,2015,Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,76000,Diesel,Manual,565000,8
413,2012,Volkswagen Jetta 2.0L TDI Highline,Volkswagen,76000,Diesel,Manual,550000,11
414,2011,Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,58000,Diesel,Automatic,650000,12
415,2015,,Maruti,25000,,,500000,8
416,2008,Hyundai Santro Xing GLS AT,Hyundai,72001,Petrol,Automatic,225000,15
417,2019,Honda Amaze S Petrol BSIV,Honda,23593,Petrol,Manual,650000,4
418,2017,Toyota Fortuner 2.8 2WD MT BSIV,Toyota,77000,Diesel,Manual,2805000,6
419,2016,Toyota Etios Cross 1.4L VD,Toyota,75000,Diesel,Manual,545000,7
420,2019,Hyundai Creta Facelift,Hyundai,10000,Diesel,Manual,1200000,4
421,2011,Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,42000,Diesel,Automatic,2200000,12
422,2015,Honda Jazz 1.2 V AT i VTEC,Honda,52000,Petrol,Automatic,550000,8
423,2015,,Maruti,25000,,,500000,8
424,2013,Skoda New Laura Ambiente 2.0 TDI CR MT,Skoda,58000,Diesel,Manual,649000,10
425,2014,Toyota Fortuner 4x2 Manual,Toyota,177000,Diesel,Manual,1610000,9
426,2018,Maruti Ciaz 1.3 Sigma,Maruti,60000,Diesel,Manual,670000,5
427,2016,Maruti Swift Dzire VXI,Maruti,68488,Petrol,Manual,370000,7
428,2018,Toyota Land Cruiser VX,Toyota,21000,Diesel,Automatic,9500000,5
429,2019,Mahindra Marazzo M2 BSIV,Mahindra,138649,Diesel,Manual,600000,4
430,2013,Audi A4 2.0 TDI Premium Plus,Audi,118000,Diesel,Automatic,1550000,10
431,2015,,Maruti,25000,,,500000,8
432,2019,Kia Seltos HTX G,Kia,43000,Petrol,Manual,1390000,4
433,2018,Hyundai Grand i10 1.2 Kappa Sportz Option AT,Hyundai,16500,Petrol,Automatic,600000,5
434,2009,Honda City 1.5 E MT,Honda,95000,Petrol,Manual,315000,14
435,2021,Kia Sonet GTX Plus Turbo iMT,Kia,14000,Petrol,Manual,1310000,2
436,2015,Hyundai Grand i10 Sportz,Hyundai,64000,Petrol,Manual,380000,8
437,2020,Tata Nexon EV Prime XZ Plus,Tata,8000,Electric,Automatic,1499000,3
438,2015,Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,84000,Diesel,Automatic,1700000,8
439,2015,,Maruti,25000,,,500000,8
440,2013,Renault Duster 85PS Diesel RxL,Renault,123000,Diesel,Manual,495000,10
441,2016,Maruti Baleno 1.2 Zeta,Maruti,60000,Petrol,Manual,589000,7
442,2020,Toyota Innova Crysta 2.4 ZX AT,Toyota,47000,Diesel,Automatic,2850000,3
443,2019,Mahindra XUV300 W8 Option Diesel BSIV,Mahindra,40000,Diesel,Manual,1260000,4
444,2013,Honda Brio VX,Honda,75000,Petrol,Manual,340000,10
445,2018,Hyundai Creta 1.6 SX,Hyundai,42000,Petrol,Manual,1145000,5
446,2017,Mercedes-Benz SLC 43 AMG,Mercedes-Benz,12000,Petrol,Automatic,6400000,6
447,2015,,Maruti,25000,,,500000,8
448,2015,Honda Jazz 1.2 V AT i VTEC,Honda,42000,Petrol,Automatic,535000,8
449,2012,BMW 3 Series 320d,BMW,55000,Diesel,Automatic,1600000,11
450,2014,Toyota Corolla Altis VL AT,Toyota,55000,Petrol,Automatic,875000,9
451,2021,Tata Harrier XZA Plus Dark Edition AT 2020-2022,Tata,32000,Diesel,Automatic,2275000,2
452,2015,Hyundai i20 Magna 1.2,Hyundai,65000,Petrol,Manual,550000,8
453,2016,Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai,62000,Petrol,Automatic,1095000,7
454,2014,Honda Amaze VX i-DTEC,Honda,60000,Diesel,Manual,370000,9
455,2015,,Maruti,25000,,,500000,8
456,2019,Maruti Baleno Zeta CVT,Maruti,28000,Petrol,Automatic,810000,4
457,2017,Maruti Swift Dzire VXI,Maruti,75678,Petrol,Manual,415000,6
458,2017,Jeep Compass 2.0 Limited Option 4X4,Jeep,32000,Diesel,Manual,1325000,6
459,2015,Hyundai Grand i10 Sportz,Hyundai,67000,Petrol,Manual,430000,8
460,2013,Maruti Ertiga VXI,Maruti,46000,Petrol,Manual,566000,10
461,2019,Hyundai Santro Magna AMT BSIV,Hyundai,22291,Petrol,Automatic,450000,4
462,2020,BMW 3 Series 320d Sport,BMW,8000,Diesel,Automatic,4400000,3
463,2015,,Maruti,25000,,,500000,8
464,2009,Toyota Fortuner 3.0 Diesel,Toyota,270000,Diesel,Manual,1060000,14
465,2015,Maruti Swift Dzire VDI,Maruti,74000,Diesel,Manual,569000,8
466,2019,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,21000,Diesel,Automatic,4731000,4
467,2013,Mahindra Bolero XL 9 STR,Mahindra,120000,Diesel,Manual,450000,10
468,2016,Honda Amaze S i-DTEC,Honda,60000,Diesel,Manual,400000,7
469,2014,Mercedes-Benz C-Class C 220 CDI Celebration Edition,Mercedes-Benz,58000,Diesel,Automatic,1575000,9
470,2017,Tata Tiago 1.2 Revotron XZA,Tata,58000,Petrol,Automatic,485000,6
471,2015,,Maruti,25000,,,500000,8
472,2020,Kia Carnival Premium 8 STR,Kia,18000,Diesel,Automatic,2592000,3
473,2019,Tata Nexon 1.5 Revotorq XMA,Tata,36326,Diesel,Automatic,1050000,4
474,2015,Mitsubishi Pajero Sport 4X4 AT,Mitsubishi,85000,Diesel,Automatic,1675000,8
475,2014,Fiat Linea 1.3 Emotion,Fiat,79000,Diesel,Manual,319000,9
476,2019,Mahindra Marazzo M2 BSIV,Mahindra,77000,Diesel,Manual,1025000,4
477,2020,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,43000,CNG,Manual,495000,3
478,2015,Skoda Superb Elegance 2.0 TDI CR AT,Skoda,79776,Diesel,Automatic,1465000,8
479,2015,,Maruti,25000,,,500000,8
480,2016,Maruti Swift Dzire VXI,Maruti,67000,Petrol,Manual,385000,7
481,2017,Maruti Wagon R VXI BS IV,Maruti,10503,Petrol,Manual,415000,6
482,2018,Maruti Vitara Brezza ZDi,Maruti,48000,Diesel,Manual,980000,5
483,2020,Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,Ford,31000,Petrol,Automatic,1180000,3
484,2017,Hyundai Xcent 1.2 CRDi SX Option,Hyundai,48198,Diesel,Manual,350000,6
485,2019,Maruti Swift Dzire VDI,Maruti,225000,Diesel,Manual,650000,4
486,2009,Maruti Swift Lxi BSIII,Maruti,65000,Petrol,Manual,250000,14
487,2015,,Maruti,25000,,,500000,8
488,2013,Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz,58500,Diesel,Automatic,1650000,10
489,2021,Mahindra Thar LX 4-Str Convert Top Diesel,Mahindra,10950,Diesel,Manual,1675000,2
490,2019,Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti,38000,CNG,Manual,480000,4
491,2014,Hyundai Grand i10 Magna,Hyundai,55000,Petrol,Manual,360000,9
492,2018,Audi Q7 45 TDI Quattro Technology,Audi,15000,Diesel,Automatic,7250000,5
493,2009,Tata Nano Lx BSIII,Tata,12000,Petrol,Manual,95000,14
494,2022,Tata Tigor XZ Plus CNG,Tata,4700,CNG,Manual,875000,1
495,2015,,Maruti,25000,,,500000,8
496,2019,MG Hector Hybrid Sharp MT BSIV,MG,26866,Petrol,Manual,1250000,4
497,2016,Honda Jazz V CVT,Honda,68000,Petrol,Automatic,575000,7
498,2004,Hyundai Santro Xing XL,Hyundai,89000,Petrol,Manual,175000,19
499,2018,Hyundai Creta 1.4 CRDi S,Hyundai,62000,Diesel,Manual,915000,5
500,2021,Maruti Baleno Delta,Maruti,23000,Petrol,Manual,725000,2
501,2010,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Land,118000,Diesel,Automatic,3250000,13
502,2015,Maruti Swift VXI,Maruti,43000,Petrol,Manual,430000,8
503,2015,,Maruti,25000,,,500000,8
504,2014,Ford Ecosport 1.5 DV5 MT Trend,Ford,115000,Diesel,Manual,480000,9
505,2009,Chevrolet Spark 1.0 LS,Chevrolet,68474,Petrol,Manual,95000,14
506,2011,Honda City 1.5 V MT,Honda,54000,Petrol,Manual,311000,12
507,2018,Maruti Swift VXI BSIV,Maruti,48000,Petrol,Manual,545000,5
508,2010,Maruti Zen Estilo LX BSIII,Maruti,60000,Petrol,Manual,197000,13
509,2016,BMW 3 Series 320d Edition Sport,BMW,50000,Diesel,Automatic,4000000,7
510,2015,Maruti Wagon R VXI 1.2,Maruti,60000,Petrol,Manual,331000,8
511,2015,,Maruti,25000,,,500000,8
512,2016,Maruti SX4 S Cross DDiS 200 Sigma,Maruti,48000,Diesel,Manual,800000,7
513,2011,Hyundai i20 1.4 CRDi Magna,Hyundai,143171,Diesel,Manual,200000,12
514,2014,Hyundai Grand i10 Magna,Hyundai,67513,Petrol,Manual,325000,9
515,2011,Mercedes-Benz E-Class E350 CDI Avantgarde,Mercedes-Benz,94000,Diesel,Automatic,1650000,12
516,2018,Mahindra Xylo H8,Mahindra,116710,Diesel,Manual,695000,5
517,2012,Hyundai i20 Sportz 1.4 CRDi,Hyundai,72573,Diesel,Manual,390000,11
518,2020,Hyundai i20 Sportz Plus,Hyundai,54321,Petrol,Manual,715000,3
519,2015,,Maruti,25000,,,500000,8
520,2020,Kia Seltos GTX Plus DCT,Kia,7000,Petrol,Automatic,1850000,3
521,2016,Mahindra TUV 300 T8,Mahindra,44000,Diesel,Manual,800000,7
522,2013,Maruti Swift LDI,Maruti,75000,Diesel,Manual,315000,10
523,2021,Renault Triber RXZ EASY-R AMT,Renault,5000,Petrol,Automatic,800000,2
524,2020,Kia Seltos HTK Plus G,Kia,17922,Petrol,Manual,1349000,3
525,2008,Hyundai Accent GLE,Hyundai,83640,Petrol,Manual,145000,15
526,2016,Tata Tiago 1.2 Revotron XZ,Tata,80000,Petrol,Manual,350000,7
527,2015,,Maruti,25000,,,500000,8
528,2013,Maruti Ertiga VXI CNG,Maruti,71277,CNG,Manual,500000,10
529,2018,Hyundai Elantra 1.6 SX Option AT,Hyundai,61000,Diesel,Automatic,1345000,5
530,2010,Maruti Swift VXi BSIV,Maruti,86840,Petrol,Manual,150000,13
531,2016,Maruti Baleno 1.2 Alpha,Maruti,17359,Petrol,Manual,695000,7
532,2011,Skoda Superb 1.8 TSI,Skoda,61235,Petrol,Automatic,335000,12
533,2016,Audi A6 35 TFSI Matrix,Audi,61000,Petrol,Automatic,2000000,7
534,2012,Hyundai Santro Xing GLS,Hyundai,133653,Petrol,Manual,150000,11
535,2015,,Maruti,25000,,,500000,8
536,2007,Mahindra Bolero DI DX 8 Seater,Mahindra,100000,Diesel,Manual,150000,16
537,2013,Renault Duster 85PS Diesel RxL,Renault,76122,Diesel,Manual,290000,10
538,2021,Datsun GO Plus T Option CVT,Datsun,16000,Petrol,Automatic,480000,2
539,2019,Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai,9576,Petrol,Automatic,1475000,4
540,2011,Fiat Linea Emotion (Diesel),Fiat,30000,Diesel,Manual,213000,12
541,2016,Maruti Vitara Brezza ZDi Plus,Maruti,51348,Diesel,Manual,795000,7
542,2021,Jeep Compass 2.0 Limited 4X4 Opt Diesel AT,Jeep,35500,Diesel,Automatic,2500000,2
543,2015,,Maruti,25000,,,500000,8
544,2008,Mercedes-Benz C-Class C 200 AVANTGARDE,Mercedes-Benz,90000,Petrol,Automatic,800000,15
545,2014,Maruti Swift Dzire VXI,Maruti,67542,Petrol,Manual,415000,9
546,2013,Honda City V MT,Honda,80078,Petrol,Manual,421000,10
547,2012,Audi A6 3.0 TDI Quattro Premium Plus,Audi,60000,Diesel,Automatic,1125000,11
548,2010,BMW 5 Series 525d Sedan,BMW,74000,Diesel,Automatic,1250000,13
549,2022,BMW 5 Series 530i M Sport,BMW,6000,Petrol,Automatic,6600000,1
550,2018,Mercedes-Benz GLS 350d Grand Edition,Mercedes-Benz,65000,Diesel,Automatic,6500000,5
551,2015,,Maruti,25000,,,500000,8
552,2017,Volkswagen Vento 1.2 TSI Highline AT,Volkswagen,38000,Petrol,Automatic,745000,6
553,2008,Maruti Swift Ldi BSIII,Maruti,95757,Diesel,Manual,225000,15
554,2011,Tata Indica Aura 1.3 Quadrajet (ABS) BS IV,Tata,120000,Diesel,Manual,170000,12
555,2015,Hyundai Creta 1.6 VTVT SX Plus Dual Tone,Hyundai,56884,Petrol,Manual,791000,8
556,2017,Volvo V40 D3 R Design,Volvo,68000,Diesel,Automatic,2050000,6
557,2010,Mahindra Scorpio M2DI,Mahindra,189000,Diesel,Manual,300000,13
558,2011,Maruti Eeco CNG HTR 5-STR,Maruti,79548,CNG,Manual,285000,12
559,2015,,Maruti,25000,,,500000,8
560,2013,Hyundai EON Era Plus,Hyundai,79000,Petrol,Manual,260000,10
561,2012,Maruti Swift Dzire VDI,Maruti,70000,Diesel,Manual,465000,11
562,2015,Hyundai Verna 1.6 VTVT SX,Hyundai,56522,Petrol,Manual,500000,8
563,2017,Maruti Alto 800 LXI Optional,Maruti,46135,Petrol,Manual,270000,6
564,2017,Maruti Ertiga VXI CNG,Maruti,76978,CNG,Manual,835000,6
565,2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,Hyundai,34000,Petrol,Manual,550000,5
566,2016,Maruti Swift ZXI BSIV,Maruti,87147,Petrol,Manual,350000,7
567,2015,,Maruti,25000,,,500000,8
568,2016,Maruti Celerio VXI,Maruti,60000,Petrol,Manual,380000,7
569,2018,BMW X3 xDrive 30i Luxury Line,BMW,25000,Petrol,Automatic,4600000,5
570,2012,Hyundai i10 Sportz,Hyundai,55000,Petrol,Manual,350000,11
571,2012,Hyundai i10 Magna,Hyundai,52013,Petrol,Manual,170000,11
572,2011,Honda City 1.5 S MT,Honda,68933,Petrol,Manual,400000,12
573,2018,Tata Nexon 1.2 Revotron XT,Tata,60000,Petrol,Manual,600000,5
574,2015,Honda Jazz 1.2 V i VTEC,Honda,39000,Petrol,Manual,589000,8
575,2015,,Maruti,25000,,,500000,8
576,2012,Hyundai i20 Sportz AT 1.4,Hyundai,66000,Petrol,Automatic,445000,11
577,2018,Mercedes-Benz C-Class Prime C 220d,Mercedes-Benz,55000,Diesel,Automatic,3800000,5
578,2012,Maruti Alto 800 LXI,Maruti,100000,Petrol,Manual,160000,11
579,2016,Toyota Innova Crysta 2.8 GX AT 8S BSIV,Toyota,83000,Diesel,Automatic,1725000,7
580,2018,Maruti Vitara Brezza ZDi Plus AMT,Maruti,65000,Diesel,Automatic,925000,5
581,2019,Tata Nexon 1.2 Revotron XZ,Tata,8931,Petrol,Manual,850000,4
582,2017,Nissan Terrano XV Premium 110 PS,Nissan,86820,Diesel,Manual,695000,6
583,2015,,Maruti,25000,,,500000,8
584,2013,Toyota Corolla Altis G,Toyota,106188,Petrol,Manual,420000,10
585,2018,Hyundai Santro Sportz AMT BSIV,Hyundai,33615,Petrol,Automatic,430000,5
586,2016,Mercedes-Benz GLE 250d,Mercedes-Benz,88000,Diesel,Automatic,3499000,7
587,2010,Hyundai i20 1.4 CRDi Magna,Hyundai,145000,Diesel,Manual,330000,13
588,2019,BMW X1 sDrive 20d xLine,BMW,25000,Diesel,Automatic,3000000,4
589,2013,Renault Duster 110PS Diesel RxZ,Renault,63000,Diesel,Manual,635000,10
590,2015,Audi A4 35 TDI Technology Edition,Audi,82498,Diesel,Automatic,1060000,8
591,2015,,Maruti,25000,,,500000,8
592,2009,Maruti Swift VDI BSIV,Maruti,96000,Diesel,Manual,240000,14
593,2016,Porsche Cayenne Diesel Platinum Edition,Porsche,50000,Diesel,Automatic,5800000,7
594,2013,Mahindra XUV500 W8 FWD,Mahindra,80000,Diesel,Manual,885000,10
595,2018,Maruti Baleno 1.2 CVT Zeta,Maruti,30000,Petrol,Automatic,700000,5
596,2010,Hyundai i10 Sportz 1.1L,Hyundai,69000,Petrol,Manual,225000,13
597,2022,Mercedes-Benz C-Class C 200,Mercedes-Benz,5000,Petrol,Automatic,4900000,1
598,2014,Maruti Celerio VXI AT,Maruti,38000,Petrol,Automatic,375000,9
599,2015,,Maruti,25000,,,500000,8
600,2010,Hyundai i20 Magna 1.4 CRDi,Hyundai,145000,Diesel,Manual,340000,13
601,2012,Maruti Swift VDI,Maruti,76999,Diesel,Manual,450000,11
602,2018,Audi A6 35 TFSI Matrix,Audi,30000,Petrol,Automatic,3675000,5
603,2017,Honda Jazz 1.2 V i VTEC,Honda,50000,Petrol,Manual,575000,6
604,2011,Skoda Fabia 1.2 TDI Ambition Plus,Skoda,140000,Diesel,Manual,225000,12
605,2018,Maruti Vitara Brezza ZDi,Maruti,76000,Diesel,Manual,875000,5
606,2021,Maruti Wagon R CNG LXI,Maruti,9000,CNG,Manual,640000,2
607,2015,,Maruti,25000,,,500000,8
608,2018,Maruti Celerio ZXI AMT,Maruti,38269,Petrol,Automatic,490000,5
609,2021,BMW 5 Series 520d Luxury Line,BMW,41258,Diesel,Automatic,5475000,2
610,2021,Kia Sonet HTX Turbo iMT,Kia,3400,Petrol,Manual,1000000,2
611,2017,Audi Q7 45 TDI Quattro Technology,Audi,65000,Diesel,Automatic,4600000,6
612,2004,Mahindra Jeep Commander 750 DP,Mahindra,111000,Diesel,Manual,400000,19
613,2013,Hyundai Verna 1.6 SX,Hyundai,78000,Diesel,Manual,460000,10
614,2011,Hyundai i20 1.2 Sportz,Hyundai,66000,Petrol,Manual,265000,12
615,2015,,Maruti,25000,,,500000,8
616,2020,Mercedes-Benz GLS 400d 4MATIC,Mercedes-Benz,15000,Diesel,Automatic,95000,3
617,2019,BMW 5 Series 530i M Sport,BMW,44200,Petrol,Automatic,5175000,4
618,2017,Audi A4 30 TFSI Premium Plus,Audi,99256,Petrol,Automatic,2175000,6
619,2010,Hyundai i10 Sportz,Hyundai,90000,Petrol,Manual,160000,13
620,2022,BMW X4 xDrive30i M Sport Silver Shadow Edition,BMW,7600,Petrol,Automatic,7450000,1
621,2018,Maruti Ertiga VXI AT Petrol,Maruti,68000,Petrol,Automatic,865000,5
622,2016,Toyota Corolla Altis VL AT,Toyota,48000,Petrol,Automatic,1150000,7
623,2015,,Maruti,25000,,,500000,8
624,2013,Mercedes-Benz E-Class E250 CDI Classic,Mercedes-Benz,60000,Diesel,Automatic,2350000,10
625,2020,Land Rover Discovery Sport TD4 HSE 7S,Land,38000,Diesel,Automatic,4875000,3
626,2012,Hyundai Verna 1.6 SX,Hyundai,87000,Diesel,Manual,435000,11
627,2005,Toyota Corolla H2,Toyota,60000,Petrol,Manual,215000,18
628,2016,Honda City i VTEC CVT VX,Honda,54000,Petrol,Automatic,775000,7
629,2020,Kia Sonet HTK Plus Turbo DCT,Kia,37000,Petrol,Automatic,1150000,3
630,2020,Porsche Macan Standard,Porsche,20000,Petrol,Automatic,7990000,3
631,2015,,Maruti,25000,,,500000,8
632,2019,Mahindra XUV500 W11 Option AWD,Mahindra,92000,Diesel,Manual,1675000,4
633,2011,Hyundai i20 1.2 Sportz,Hyundai,57472,Petrol,Manual,215000,12
634,2016,Mercedes-Benz GLS 350d Grand Edition,Mercedes-Benz,45000,Diesel,Automatic,5950000,7
635,2015,Maruti Swift Dzire VDI,Maruti,52000,Diesel,Manual,580000,8
636,2019,Tata Nexon 1.2 Revotron XZ Plus,Tata,15000,Petrol,Manual,925000,4
637,2014,Maruti Swift Dzire VDI,Maruti,120000,Diesel,Manual,350000,9
638,2021,Mercedes-Benz E-Class Exclusive E 200,Mercedes-Benz,8900,Petrol,Automatic,6700000,2
639,2015,,Maruti,25000,,,500000,8
640,2020,Mercedes-Benz E-Class Exclusive E 220d,Mercedes-Benz,10000,Diesel,Automatic,7550000,3
641,2018,Maruti Ignis 1.2 Sigma BSIV,Maruti,30000,Petrol,Manual,470000,5
642,2021,Kia Carnival Premium 8 STR,Kia,9000,Diesel,Automatic,2888000,2
643,2021,BMW X3 xDrive 20d Luxury Line,BMW,19000,Diesel,Automatic,6000000,2
644,2009,Honda Accord 2.4 MT,Honda,325000,Petrol,Manual,325000,14
645,2014,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,52265,Diesel,Automatic,725000,9
